ERP SKU,Description,Brand,CAS,PackSize,Last Direct Cost,Partner,Wholesales,Dealer,User,LinearFormula,FormulaWeight,Density,FlashPoint,MeltingPoint,BoilingPoint,UNNumber,HazardClass,PackingGroup,TariffCode,StorageConditions,Shipment,ShelfLifeMonths,Id
ALF-045348.AE,"Sulfur in Light Mineral Oil standard solution, Specpure|r, 15^mg/g (0.0015%)",THEM,,100g,,3130,3760,4140,4770,,,,,,,,,,3822000090,Ambient,Air/Sea/Road,24,5331FAA8-87DD-4FB2-82CD-747067286020
ALF-045349.AE,"Sulfur in Light Mineral Oil standard solution, Specpure|r, 20^mg/g (0.0020%)",THEM,,500g,,11820,14190,15610,17960,,,,,,,,,,3822000090,Ambient,Air/Sea/Road,24,AD599E30-7E9D-4A06-8D0C-545D6EA123A7
ALF-045350.AE,"Sulfur in Heavy Mineral Oil standard solution, Specpure|r, 15^mg/g (0.0015%)",THEM,,2kg,,41510,49820,54810,63040,,,,,,,,,,3822000000,Ambient,Air/Sea/Road,24,46978E65-F7EB-4476-A43B-7BA7C792575D
ALF-045351.AE,"Sulfur in Heavy Mineral Oil standard solution, Specpure|r, 20^mg/g (0.0020%)",THEM,,1each,,31070,37290,41020,47180,,,,,,,,,,3822000090,Ambient,Air/Sea/Road,24,297FFC1B-6CBB-471D-B822-F1C24F33988F
ALF-045352.AE,"Sulfur in Isooctane standard solution, Specpure|r, 15^mg/g (0.0015%)",THEM,,1g,,27380,32860,36150,41580,,,,,,,1262,3,II,3822000000,Ambient,Air/Sea/Road,18,01BB1182-16C3-4AC6-A29C-D3995C685A71
ALF-045353.AE,"Sulfur in Isooctane standard solution, Specpure|r, 20^mg/g (0.0020%)",THEM,,250mg,,7940,9530,10490,12070,,,,,,,1262,3,II,3822000000,Ambient,Air/Sea/Road,18,9E0B726E-9076-4FE7-AE78-80F68627C035
ALF-045354.22,"Lead in Isooctane standard solution, Specpure|r, 0^mg/g(0.0g/gal)",THEM,,3m                       ,,1760,2120,2340,2700,,,,,,,1262,3,II,3822000000,Ambient,Air/Sea/Road,24,72047E3C-EE6E-42EA-A05E-91867006B7A6
ALF-045356.KS,"Toray Carbon Paper, TGP-H-60, 19x19cm",THEM,,5g,,8510,10220,11250,12940,,,,,,,,,,6815101000,Ambient,Air/Sea/Road,60,57E96A13-632F-49CC-A42C-DA7C886B9AFF
ALF-045365.KS,"Toray Carbon Paper, PTFE treated, TGP-H-60, 19x19cm",THEM,,25g,,41090,49310,54250,62390,,,,,,,,,,6815101000,Ambient,Air/Sea/Road,120,D1966D5A-71AC-4C6D-BEA4-05365EE6E4AE
ALF-045379.22,"Tungsten powder, -50+100 mesh, 99+% (metals basis)",THEM,,1g,,4830,5800,6380,7340,,,,,,,3089,4.1,III,8101100000,Ambient,Air/Sea/Road,60,66861200-61F3-4924-985C-EDE6269DE35A
ALF-045379.36,"Tungsten powder, -50+100 mesh, 99+% (metals basis)",THEM,,5g,,18800,22560,24820,28550,,,,,,,3089,4.1,III,8101100000,Ambient,Air/Sea/Road,60,664E753D-F1E6-4D14-9715-FEED349C4D89
ALF-045379.A3,"Tungsten powder, -50+100 mesh, 99+% (metals basis)",THEM,,1g                       ,,5320,6390,7030,8090,,,,,,,3089,4.1,III,8101100000,Ambient,Air/Sea/Road,60,D786663B-651E-49E9-84EE-246234E9CE93
ALF-045384.9W,"Osmium(VIII) oxide, 2% aq. soln.",THEM,,1g,,3080,3700,4070,4690,,,,,,,3287,6.1,III,2843909000,Ambient,Air/Sea/Road,6,172DB831-1AF8-4876-8E09-BF0771861390
ALF-045384.AB,"Osmium(VIII) oxide, 2% aq. soln.",THEM,,5g,,13070,15690,17260,19850,,,,,,,3287,6.1,III,2843909000,Ambient,Air/Sea/Road,6,598431CF-B39F-465C-B368-1294D8388348
ALF-045385.9W,"Osmium(VIII) oxide, 4% aq. soln.",THEM,,1g,,2320,2790,3070,3540,,,,,,,3287,6.1,III,2843909000,Ambient,Air/Sea/Road,6,A729E92C-5EFA-4A5F-B7F7-98E391FC5EEE
ALF-045385.AB,"Osmium(VIII) oxide, 4% aq. soln.",THEM,,5g,,8780,10540,11600,13340,,,,,,,3287,6.1,III,2843909000,Ambient,Air/Sea/Road,6,D9FA0D1F-BD80-45F6-ABBC-B20EEC6119E3
ALF-045386.KS,"Germanium Optical Window, 25.4mm (1.0in) dia x 1mm (0.04in) thick",THEM,,1g,,3260,3920,4320,4970,,,,,,,,,,9027900000,Ambient,Air/Sea/Road,360,0E7DB1E1-7B50-4778-A81F-0B75FA7C1489
ALF-045387.KS,"Germanium Optical Window, 25.4mm (1.0in) dia x 2mm (0.08in) thick",THEM,,5g,,12690,15230,16760,19280,,,,,,,,,,9027900000,Ambient,Air/Sea/Road,360,8011F9F7-9982-46CC-BDB1-526D44FF000B
ALF-045396.4I,Malic Enzyme,THEM,,250ml,,2360,2840,3130,3600,,,,,,,,,,3507909090,Ambient,Air/Sea/Road,60,B266DC76-4B57-4732-A355-E5284E682D8F
